E. I. N.,Name,In Care of Name,Address,City,State,Zip Code,Asset Amount,Income Amount,Form 990 Revenue Amount
660578643,3RA MANANTIAL DE VIDA                                                 ,                                   ,PO BOX 334432                      ,PONCE                 ,PR,00733-4432,             ,             ,             
660474353,82D AIRBORNE DIVISION ASSOCIATION INC                                 ,% LEOPALDO GARCIA                  ,UILLAS DE PARAMA CALLE 4 51-37     ,SAN JUAN              ,PR,00926-0000,             ,             ,             
660646583,ABBIES SCHOOL INC                                                     ,                                   ,PO BOX 456                         ,CULEBRA               ,PR,00775-0456,             ,             ,             
660514087,ABC INFANTIL INC                                                      ,% JUDY NIEVES                      ,URB ALTURAS DE AGUADA CALLE D-24   ,AGUADA                ,PR,00602-0000,$0.00,"$76,587.00","$76,587.00"
660732176,ABRIENDO PUERTAS AL FUTURO INC                                        ,                                   ,PO BOX 8622                        ,BAYAMON               ,PR,00960-8622,$0.00,$0.00,$0.00
660389394,ACADEMIA CRISTIANA COHELET DEL CENTRO                                 ,                                   ,PO BOX 2017 PMB 181                ,LAS PIEDRAS           ,PR,00771-2017,"$887,503.00","$540,177.00","$540,177.00"
660314537,ACADEMIA CRISTO REY INC                                               ,                                   ,URB LA RAMBLA 3011 CALLE SAN JUDAS ,PONCE                 ,PR,00730-0000,             ,             ,             
660492550,ACADEMIA DE DIRECTORES MEDICOS DE PUERTO RICO                         ,                                   ,PO BOX 270316                      ,SAN JUAN              ,PR,00928-3116,"$1,014,812.00","$518,619.00","$518,619.00"
660372667,ACADEMIA DISCIPULOS DE CRISTO MANATI PR                               ,                                   ,PO BOX 902                         ,MANATI                ,PR,00674-0902,"$828,161.00","$1,107,536.00","$1,107,536.00"
660489867,ACADEMIA EL PRINCIPITO INC                                            ,% ELBA GONZALEZ COLON              ,JOSE A MULLET A-3                  ,HONEYVEIW             ,PR,00660-0000,"$30,595.00","$146,397.00","$146,397.00"
660443295,ACADEMIA MARANATHA INC                                                ,                                   ,PO BOX 1655                        ,RIO GRANDE            ,PR,00745-1655,             ,             ,             
660749622,ACADEMIA NUESTRA SENORA DE FATIMA INC                                 ,% MARIA BALDONI HOMS               ,PO BOX 469                         ,BAJADERO              ,PR,00616-0469,             ,             ,             
660393364,ACCION SOCIAL DE PUERTO RICO INC                                      ,                                   ,PO BOX 3930                        ,GUAYNABO              ,PR,00970-3930,"$6,039,623.00","$11,234,703.00","$11,234,703.00"
660639223,AD SECTOR FORTUNA                                                     ,                                   ,HC 80 BOX 8037                     ,DORADO                ,PR,00646-9558,             ,             ,             
660587983,ADVANCED BILINGUAL SCHOOL INC                                         ,% MANUEL MARTINEZ                  ,HC 5 BOX 55034                     ,AGUADILLA             ,PR,00603-9558,"$625,112.00","$464,818.00","$464,818.00"
660411869,ADVANCER LOCAL DEVELOPMENT CORPORATION                                ,                                   ,PO BOX 191060                      ,SAN JUAN              ,PR,00919-1060,$0.00,$0.00,$0.00
660722017,ALBERGUE LA PROVIDENCIA PARA EL BIENESTAR SOCIAL                      ,% FRANCISCO GARCIA CERVERA         ,PO BOX 10142                       ,PONCE                 ,PR,00732-0142,"$68,333.00","$79,531.00","$79,531.00"
660526614,ALFARUQ MOUSQUE INC                                                   ,% MUHMOUD ABDEL-HAFEZ              ,PO BOX 670                         ,VEGA ALTA             ,PR,00692-0670,             ,             ,             
660725579,ALIANZA GEOGRAFICA DE PUERTO RICO INC                                 ,% JOSE MOLINELLI-FREYTES           ,PO BOX 21896                       ,SAN JUAN              ,PR,00931-1896,$0.00,$0.00,$0.00
660475971,ALIANZA MUNICIPAL DE SERVICIOS                                        ,                                   ,PO BOX 8518                        ,CAGUAS                ,PR,00726-8518,"$2,684,500.00","$6,325,846.00","$6,325,846.00"
